"Complete_Date","Month","Year","State","City","CHighSchoolLevel","CPovertyLevel","CHouseholdIncome","CShareWhite","CShareBlack","CShareNativeAmerican","CShareAsian","CShareHispanic","Age","Age_Group","Weapon","Weapon_Category","Race","MentalIllness","Gender","NumberOfShootings"
"2000-01-05","January","2000","ALABAMA","DOTHAN","86.2","19.1","42426","63.1","32.5","0.4","1.1","2.9","45","ADULTS","UNKNOWN","UNKNOWN","BLACK","FALSE","MALE","1"
"2000-01-06","January","2000","CALIFORNIA","MUSCOY","44.9","33.5","36108","41.9","4.3","1.2","0.9","82.9","31","ADULTS","UNKNOWN","UNKNOWN","UNKNOWN","FALSE","MALE","1"
"2000-01-06","January","2000","NORTH CAROLINA","CHARLOTTE","88.4","16.8","53637","50","35","0.5","5","13.1","23","ADULTS","UNKNOWN","UNKNOWN","UNKNOWN","FALSE","MALE","1"
"2000-01-09","January","2000","CALIFORNIA","MORENO VALLEY","75.2","19.3","54590","41.9","18","0.9","6.1","54.4","24","ADULTS","GUN","RANGED","UNKNOWN","FALSE","MALE","1"
"2000-01-10","January","2000","PENNSYLVANIA","BALA CYWYD","0","0","0","0","0","0","0","0","26","ADULTS","UNKNOWN","UNKNOWN","BLACK","FALSE","MALE","1"
"2000-01-11","January","2000","FLORIDA","TAMPA","86.6","21.8","44185","62.9","26.2","0.4","3.4","23.1","17","TEENAGERS","UNKNOWN","UNKNOWN","UNKNOWN","FALSE","MALE","1"
"2000-01-12","January","2000","TEXAS","GARLAND","76.3","17.2","51970","57.5","14.5","0.8","9.4","37.8","0","UNKNOWN","KNIFE","MELEE","UNKNOWN","FALSE","MALE","1"
"2000-01-13","January","2000","ARIZONA","PHOENIX","80.7","23.1","47326","65.9","6.5","2.2","3.2","40.8","44","ADULTS","UNKNOWN","UNKNOWN","WHITE","FALSE","MALE","1"
"2000-01-14","January","2000","CALIFORNIA","MODESTO","81.2","20.5","48577","65","4.2","1.2","6.7","35.5","41","ADULTS","UNKNOWN","UNKNOWN","HISPANIC","FALSE","MALE","1"
"2000-01-15","January","2000","CALIFORNIA","NORTH TUSTIN","97.3","3.1","124248","83.6","0.6","0.4","8","13.1","25","ADULTS","UNKNOWN","UNKNOWN","HISPANIC","FALSE","MALE","1"
"2000-01-17","January","2000","NEVADA","RENO","85.7","18.3","47012","74.2","2.9","1.3","6.3","24.3","21","ADULTS","UNKNOWN","UNKNOWN","WHITE","TRUE","MALE","1"
"2000-01-17","January","2000","NEW YORK","ASTORIA","0","0","0","0","0","0","0","0","28","ADULTS","KNIFE","MELEE","WHITE","TRUE","MALE","1"
"2000-01-19","January","2000","GEORGIA","ATLANTA","89","24.6","47527","38.4","54","0.2","3.1","5.2","0","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","FALSE","MALE","1"
"2000-01-20","January","2000","ARIZONA","PHOENIX","80.7","23.1","47326","65.9","6.5","2.2","3.2","40.8","26","ADULTS","GUN","RANGED","UNKNOWN","FALSE","MALE","1"
"2000-01-21","January","2000","MAINE","SUMNER","0","0","0","0","0","0","0","0","32","ADULTS","GUN","RANGED","UNKNOWN","TRUE","MALE","1"
"2000-01-22","January","2000","ARIZONA","PHOENIX","80.7","23.1","47326","65.9","6.5","2.2","3.2","40.8","31","ADULTS","UNKNOWN","UNKNOWN","WHITE","FALSE","MALE","1"
"2000-01-28","January","2000","CALIFORNIA","OAKLAND","80.4","20.4","54618","34.5","28","0.8","16.8","25.4","26","ADULTS","UNKNOWN","UNKNOWN","BLACK","FALSE","MALE","1"
"2000-01-28","January","2000","NEW JERSEY","JERSEY CITY","85.5","19.3","59537","32.7","25.8","0.5","23.7","27.6","15","TEENAGERS","GUN","RANGED","BLACK","FALSE","MALE","1"
"2000-01-28","January","2000","RHODE ISLAND","PROVIDENCE","74.2","29.1","37501","49.8","16","1.4","6.4","38.1","29","ADULTS","GUN","RANGED","BLACK","FALSE","MALE","1"
"2000-01-29","January","2000","ARIZONA","PHOENIX","80.7","23.1","47326","65.9","6.5","2.2","3.2","40.8","20","ADULTS","GUN","RANGED","UNKNOWN","TRUE","MALE","1"
